image_name,global_type,specific_type
bulletinComar_1.png,BS,BSComar
bulletinComar_10.png,BS,BSComar
bulletinComar_11.png,BS,BSComar
bulletinComar_12.png,BS,BSComar
bulletinComar_13.png,BS,BSComar
bulletinComar_14.png,BS,BSComar
bulletinComar_15.png,BS,BSComar
bulletinComar_16.png,BS,BSComar
bulletinComar_17.png,BS,BSComar
bulletinComar_18.png,BS,BSComar
bulletinComar_19.png,BS,BSComar
bulletinComar_2.png,BS,BSComar
bulletinComar_20.png,BS,BSComar
bulletinComar_21.png,BS,BSComar
bulletinComar_22.png,BS,BSComar
bulletinComar_23.png,BS,BSComar
bulletinComar_24.png,BS,BSComar
bulletinComar_25.png,BS,BSComar
bulletinComar_26.png,BS,BSComar
bulletinComar_27.png,BS,BSComar
bulletinComar_28.png,BS,BSComar
bulletinComar_29.png,BS,BSComar
bulletinComar_3.png,BS,BSComar
bulletinComar_30.png,BS,BSComar
bulletinComar_31.png,BS,BSComar
bulletinComar_32.png,BS,BSComar
bulletinComar_33.png,BS,BSComar
bulletinComar_34.png,BS,BSComar
bulletinComar_35.png,BS,BSComar
bulletinComar_36.png,BS,BSComar
bulletinComar_37.png,BS,BSComar
bulletinComar_38.png,BS,BSComar
bulletinComar_39.png,BS,BSComar
bulletinComar_4.png,BS,BSComar
bulletinComar_40.png,BS,BSComar
bulletinComar_5.png,BS,BSComar
bulletinComar_6.png,BS,BSComar
bulletinComar_7.png,BS,BSComar
bulletinComar_8.png,BS,BSComar
bulletinComar_9.png,BS,BSComar
realComar1.jpg,BS,BSComar
realComar10.jpg,BS,BSComar
realComar11.jpg,BS,BSComar
realComar12.jpg,BS,BSComar
realComar13.jpg,BS,BSComar
realComar14.jpg,BS,BSComar
realComar15.jpg,BS,BSComar
realComar16.jpg,BS,BSComar
realComar17.jpg,BS,BSComar
realComar18.jpg,BS,BSComar
realComar19.jpg,BS,BSComar
realComar2.jpg,BS,BSComar
realComar20.jpg,BS,BSComar
realComar21.jpg,BS,BSComar
realComar22.jpg,BS,BSComar
